VNUM	LOCALE_NAME
2680	Zodyak Yengeç Dövüþçüsü
2681	Akrep Zodyak Okçusu
2682	Zodyak Karides Askeri
2683	Þeyt. Zodyak Yerleþimci
2684	Zodyak Zýrhlý Yengeç
2685	Devasa Zodyak Diþlek
2686	Devasa Zodyak Kasabý
2687	Zodyak Büyücüsü
2688	Zodyak Yarým Dünya
2689	Zodyak Öcü Celladý
2690	Zodyak Öcü Okçusu
2691	Zodyak Savaþ Öcüsü
2692	Zodyak Öcü Büyücüsü
2700	Vargulf
2701	Vargulf Askeri
2702	Vargulf Generali
2703	Kerberos
2704	Yýlan Kerberos
2705	Ejder Kerberos
2706	Kentor
2707	Kentor Savaþçýsý
2708	Kentor Generali
2709	Moloch
2710	Moloch Savaþçýsý
2711	Moloch Generali
2712	Ölüm Kanadý
2713	Çürük Ölüm Kanadý
2714	Küflü Ölüm Kanadý
2715	Zefir
2716	Zefir Savaþçýsý
2717	Zefir Generali
2718	Uruk
2719	Uruk Savaþçýsý
2720	Uruk Generali
2721	Fantilla
2722	Fantilla Savaþçýsý
2723	Fantilla Generali
2724	Spartalý
2725	Spartalý Asker
2726	Spartalý General
2727	Kemik Gladyatör
2728	Kemik Gladyatör Askeri
2729	Kemik Gladyatör Generali
2730	Uður Böceði Yay
2731	Uður Böceði Dev
2732	Uður Böceði Baþak
2733	Demir Okçu
2734	Demir Savaþçý
2735	Demir General
2736	Kaçak
2737	Damage_Trap
2750	Zi Subayý
2751	Zi Bekçisi
2752	Zi Generali
2760	Chou Subayý
2761	Chou Bekçisi
2762	Chou Generali
2770	Yin Subayý
2771	Yin Bekçisi
2772	Yin Generali
2780	Mao Subayý
2781	Mao Bekçisi
2782	Mao Generali
2790	Chen Subayý
2791	Chen Bekçisi
2792	Chen Generali
2800	Si Subayý
2801	Si Bekçisi
2802	Si Generali
2810	Wu Subayý
2811	Wu Bekçisi
2812	Wu Generali
2820	Wei Subayý
2821	Wei Bekçisi
2822	Wei Generali
2830	Shen Subayý
2831	Shen Bekçisi
2832	Shen Generali
2840	Yu Subayý
2841	Yu Bekçisi
2842	Yu Generali
2850	Xu Subayý
2851	Xu Bekçisi
2852	Xu Generali
2860	Hai Subayý
2861	Hai Bekçisi
2862	Hai Generali
2900	Fare Metini
2901	Manda Metini
2902	Kaplan Metini
2903	Ejder Metini
2904	Yýlan Metini
2905	At Metini
2906	Keçi Metini
2907	Maymun Metini
2908	Köpek Metini
3001	Gnoll Savaþçý
3002	Gnoll Okçu
3003	Gnoll Savunucu
3004	Gnoll Büyücü
3005	Gnoll General
3090	Lord Gnoll
3091	Baþ Gnoll Nöbetçi
3101	Tekgözlü Kavgacý
3102	Kiklop Asker
3103	Kiklop Büyücü
3104	Kiklop Cellat
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Mantikor Savaþçý
3202	Mantikor Asker
3203	Mantikor Büyücü
3204	Mantikor Cellat
3205	General Kor
3290	Rakshasa
3291	Martyaxwar
3301	Lemur Savaþçý
3302	Lemur Asker
3303	Lemur Büyücü
3304	Lemur Cellat
3305	Lemur General
3390	Lemur Prensi
3391	Lemur Muhafýz
3401	Triton Murana
3402	Köpekbalýðý Askeri
3403	Triton Büyücü
3404	Triton Avcý
3405	Triton Usturacý
3490	General Kappa
3491	Triton
3501	Kýzýlhýrsýz Amazon
3502	Kýzýlhýrsýz Katil
3503	Kýzýlhýrsýz Büyücü
3504	Kýzýlhýrsýz Cellat
3505	Siyah General
3551	Zalim Kýzýlhýrsýz Amazon
3552	Zalim Kýzýlhýrsýz Katil
3553	Zalim Kýzýlhýrsýz Büyücü
3554	Zalim Kýzýlhýrsýz Cellat
3555	Beyaz General
3590	Kemiksurat
3591	Kýzýl Reis
3595	Zalim Kemiksurat
3596	Zalim Kýzýl Reis
3601	Yengeç Savaþçý
3602	Akrep Savaþçý
3603	Karides Asker
3604	Þeytani Keþiþ
3605	Zýrhlý Yengeç
3690	General Istakoz
3691	Kral Yengeç
3701	Devasa Diþlek
3702	Dev Kasap
3703	Dev Büyücü
3704	Yarým Dünya
3705	Kaptan Kanca
3790	Gargoyle
3791	Kral Voba
3801	Cellatork
3802	Okçu Öcü
3803	Kavgacý Öcü
3804	Öcü Büyücü
3805	General Öcü
3890	Kaptan Þrak
3891	Dev Öcü
3901	Daladam
3902	Eoten
3903	Ruhlu Aðaç
3904	Kaptan Kanca
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Karnifeks
3909	General Albus
3910	Skeletos
3911	Aku Beku
3912	Arboretum
3913	Sekomor
3949	Portal: Yeni kýta
3950	Kappa
3951	Lagun Kappasý
3952	Okyanus Kappasý
3953	Kappa lideri
3954	Murana askeri
3955	Okyanus Murana savaþçýsý
3956	Siren kraliçesi
3957	Hidra'nýn yavrusu
3958	Hidra'nýn yavrusu
3959	Hidra'nýn yavrusu
3960	Hidra
3961	Hidra
3962	Hidra
3963	Hidra
3964	Hidra
3965	Hidra'nýn hazinesi
3970	x
3980	Ateþ elementeri
3981	Buz elementeri
3982	Þimþek elementeri
3983	Rüzgar elementeri
3984	Toprak elementeri
3985	Karanlýk elementeri
3986	Kor ruhu
3987	Buz ruhu
3988	Elektrik ruhu
3989	Hava ruhu
3990	Taþ ruhu
3991	Alacakaranlýk ruhu
3992	Yangýn hükumdarý
3993	Buzul hükumdarý
3994	Yýldýrým hükumdarý
3995	Fýrtýna hükumdarý
3996	Toprak hükumdarý
3997	Gece hükumdarý
3998	Elementer dünyasý
3999	Çýkýþ
4000	Ateþ Metini
4001	Buz Metini
4002	Þimþek Metini
4003	Rüzgar Metini
4004	Toprak Metini
4005	Gece Metini
4006	Elementer korucusu
4101	Son devir bekçisi Zi
4102	Son devir bekçisi Chou
4103	Son devir bekçisi Yin
4104	Son devir bekçisi Mao
4105	Son devir bekçisi Chen
4106	Son devir bekçisi Si
4107	Son devir bekçisi Wu
4108	Son devir bekçisi Wei
4109	Son devir bekçisi Shen
4110	Son devir bekçisi Yu
4111	Son devir bekçisi Xu
4112	Son devir bekçisi Hai
4121	Son devir bekçisi Zi
4122	Son devir bekçisi Chou
4123	Son devir bekçisi Yin
4124	Son devir bekçisi Mao
4125	Son devir bekçisi Chen
4126	Son devir bekçisi Si
4127	Son devir bekçisi Wu
4128	Son devir bekçisi Wei
4129	Son devir bekçisi Shen
4130	Son devir bekçisi Yu
4131	Son devir bekçisi Xu
4132	Son devir bekçisi Hai
4141	Çöküþ Metini
4142	Kimsesizlik Metini
4143	Lanet kapýsý
4144	Kýyamet Metini
4145	Son devir Henkogu
4146	Son devir Henkogu
4147	Son devir Kappasý
4148	Son devir okyanus Kappa
4149	Son devir Chuongu
4150	Arkan son devir Chuong
4151	Son devir büyücüsü
4152	Arkan son devir büyücüsü
4200	ZÇ: Setaou Savaþçýsý
4201	ZÇ: Setaou Savaþçýsý
4202	ZÇ: Setaou Mistik
4203	ZÇ: Setaou Askeri
4204	ZÇ: Setaou Okçusu
4205	ZÇ: Setaou Yargýcý
4206	ZÇ: Setaou Komutaný
4207	ZÇ: Yüzbaþý Yonghan
4208	ZÇ: Yüzbaþý Yonghan
4209	ZÇ: General Yonghan
4210	ZÇ: General Yonghan
4220	ZÇ: Kor Alev Hayaleti
4221	ZÇ: Kor Alev Kaplaný
4222	ZÇ: Kor Alev
4223	ZÇ: Kor Alev Savaþçýsý
4224	ZÇ: Kor Alev Kralý
4225	ZÇ: Kor Alev Golemi
4226	ZÇ: Kor Alev Sakallýsý
4227	ZÇ: Kor Alev Generali
4228	ZÇ: Kor Alev Lordu
4229	ZÇ: Ýgnatör
4240	ZÇ: Ayaz Kristali
4241	ZÇ: Ayaz Böceði
4242	ZÇ: Ayaz Adam
4243	ZÇ: Ayaz Yetisi
4244	ZÇ: Ayaz Golemi
4245	ZÇ: Ayaz Trolü
4246	ZÇ: Ayaz Sakal
4247	ZÇ: Ayaz Generali
4248	ZÇ: Ayaz Lordu
4249	ZÇ: Magma Yeti
4260	ZÇ: En-Tai Dövüþçüsü
4261	ZÇ: En-Tai Savaþçýsý
4262	ZÇ: En-Tai Rahibi
4263	ZÇ: En-Tai Þifacýsý
4264	ZÇ: En-Tai Ýmhacýsý
4265	ZÇ: En-Tai Hükümdarý
4266	ZÇ: Ochao Þifacýsý
4267	ZÇ: En-Tai Dövüþçüsü
4268	ZÇ: En-Tai Savaþçýsý
4269	ZÇ: En-Tai Rahibi
4270	ZÇ: En-Tai Þifacýsý
4271	ZÇ: En-Tai Ýmhacýsý
4272	ZÇ: Bagjanamu
4273	ZÇ: Ochao Askeri
4274	ZÇ: Ochao Büyücüsü
4275	ZÇ: Ochao Celladý
4276	ZÇ: Ochao Generali
4280	TS: Setaou Savaþçýsý
4281	TS: Setaou Avcýsý
4282	TS: Setaou Mistik
4283	TS: Setaou Askeri
4284	TS: Setaou Okçusu
4285	TS: Setaou Yargýcý
4286	TS: Setaou Komutaný
4287	TS: Yüzbaþý Yonghan
4288	TS: Yüzbaþý Yonghan
4289	TS: General Yonghan
4290	TS: General Yonghan
4300	TS: Kor Alev Hayaleti
4301	TS: Kor Alev Kaplaný
4302	TS: Kor Alev
4303	TS: Kor Alev Savaþçýsý
4304	TS: Kor Alev Kralý
4305	TS: Kor Alev Kaplaný
4306	TS: Kor Alev Sakallýsý
4307	TS: Kor Alev Generali
4308	TS: Kor Alev Lordu
4309	TS: Ýgnatör
4320	TS: Ayaz Kristali
4321	TS: Ayaz Böceði
4322	TS: Ayaz Adam
4323	TS: Ayaz Yetisi
4324	TS: Ayaz Golemi
4325	TS: Ayaz Trolü
4326	TS: Ayaz Sakal
4327	TS: Ayaz Generali
4328	TS: Ayaz Lordu
4329	TS: Magma Yeti
4340	TS: En-Tai Dövüþçüsü
4341	TS: En-Tai Savaþçýsý
4342	TS: En-Tai Rahibi
4343	TS: En-Tai Þifacýsý
4344	TS: En-Tai Ýmhacýsý
4345	TS: En-Tai Hükümdarý
4346	TS: Ochao Þifacýsý
4347	TS: En-Tai Dövüþçüsü
4348	TS: En-Tai Savaþçýsý
4349	TS: En-Tai Rahibi
4350	TS: En-Tai Þifacýsý
4351	TS: En-Tai Ýmhacýsý
4352	TS: Bagjanamu
4353	TS: Ochao Askeri
4354	TS: Ochao Büyücüsü
4355	TS: Ochao Celladý
4356	TS: Ochao Generali
4400	ZÇ: Beran-Setaou
4401	ZÇ: Razadör
4402	ZÇ: Nemere
4403	ZÇ: Jotun Thrym
4410	TS: Beran-Setaou
4411	TS: Razadör
4412	TS: Nemere
4413	TS: Jotun Thrym
4420	D: En-Tai Dövüþçüsü
4421	D: En-Tai Savaþçýsý
4422	D: En-Tai Rahibi
4423	D: En-Tai Þifacýsý
4424	D: En-Tai Ýmhacýsý
4429	D: Bagjanamu
4430	D: Gnoll Okçu
4431	D: Kiklop Asker
4432	D: Kiklop Büyücü
4433	D: Kiklop Cellat
4434	D: General Outis
4439	D: Polyphemos
4440	D: Cehennem Okçusu
4441	D: Cehennem Mýzrakçýsý
4442	D: Cehennem Papazý
4443	D: Cehennem Binbaþýsý
4444	D: Cehennem Generali
4449	D: Azrail
4450	D: Aðaç Kurbaðasý Askeri
4451	D: Aðaç Kurbaðasý Lideri
4452	D: Gulyabani
4453	D: Sarý Kaplan Hayaleti
4454	D: Kurbaða Generali
4459	D: Sarý Kaplan Hayaleti
4460	D: Kor Alev Hayaleti
4461	D: Kor Alev Kaplaný
4462	D: Kor Alev
4463	D: Kor Alev Savaþçýsý
4464	W: Magma kristali
4469	D: Ejderha Bekçisi Ýdall
4470	D: Cellatork
4471	D: Okçu Öcü
4472	D: Kavgacý Öcü
4473	D: Öcü Büyücü
4474	D: General Öcü
4479	D: Dev Öcü
5001	Korsan Tanaka
5002	Hae-Tae
5003	Maymun
5004	Korsan Tanaka
5101	Zayýf Maymun Asker
5102	Zayýf Maymun Atýcý
5103	Zayýf Maymun Savaþçý
5104	Zayýf Maymun General
5111	Maymun Asker
5112	Maymun Atýcý
5113	Maymun Savaþçý
5114	Maymun General
5115	Taþ Maymun
5116	Maymun Lider
5121	Güçlü Maymun Asker
5122	Güçlü Maymun Atýcý
5123	Güçlü Maymun Savaþçý
5124	Güçlü Maymun General
