QUEST_CATEGORY_00	Ana Görevler
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile (F5)
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Kov
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Ruh Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_NORMAL	Alan
GUILD_WAR_WARP	Arena
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Tek seferli saldýrýyý fareyi kullanarak etkinleþtir.
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_AUTO_ATTACK	Otomatik saldýrýyý fare kullanarak etkinleþtirir.
HELP_CAMERA	Kamera Yönetimi
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CHAT	Ýlgili grupla sohbet etmek için metninin önüne þunlardan birini yaz: !(Rufchat), #(Gruppenchat) veya %(Gildenchat).
HELP_CLICK_OTHER_PLAYER	Baþka bir oyuncuya saðla týklayarak ticaret yapabilirsin, gruplar kurabilirsin ve onu düelloya davet edebilirsin.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarýný deðiþtir: sað veya sol fare tuþu ile
HELP_EMOTINO	Tuþ kombinasyonlarý <Ctrl> + <1~9> ile duygu simgeleri gösterebilirsin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HELP_KEY	Yardým bölümü standart ayarlarý gösterir.
HELP_HP	Hayat Puaný (HP)
HELP_KEYSETTING	Oyun seçeneklerinde kendi tuþ kombinasyonlarýný oluþturabilirsin.
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MINIMAP	Küçük haritayý gösterir.
HELP_MINIMAP_QUEST	Küçük ve genel görünüm haritasýnda görevler yanýp sönerek görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OFF_QUESTSCROLL	-<CTRL> + Q ile görev dizilerini açýp kapatabilirsin.
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SERVER	Sana sunucu ve kanalý gösterir.
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SKILL	Burada bir beceriyi sað fare tuþuyla kullanabilirsin.
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldýr
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aþaðý)
KEYCHANGE_CAM_DOWN2	Kamera (aþaðý)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sað)
KEYCHANGE_CAM_RIGHT2	Kamera (sað)
KEYCHANGE_CAM_UP1	Kamera (yukarý)
KEYCHANGE_CAM_UP2	Kamera (yukarý)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	Ýptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_EMOTION1	Duygu (üzgün)
KEYCHANGE_EMOTION2	Duygu (Yang)
KEYCHANGE_EMOTION3	Duygu (müzik)
KEYCHANGE_EMOTION4	Duygu (kalp)
KEYCHANGE_EMOTION5	Duygu (kalp)
KEYCHANGE_EMOTION6	Duygu (bomba)
KEYCHANGE_EMOTION7	Duygu (fikir)
KEYCHANGE_EMOTION8	Duygu (fýrtýna)
KEYCHANGE_EMOTION9	Duygu (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardým
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanýlamaz!
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarlarý
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaþlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritasý
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniþ
KEYCHANGE_RIDE_BYE	Atý gönder
KEYCHANGE_RIDE_HORSE	Biniþ
KEYCHANGE_RIDE_PEED	Atý yemle
KEYCHANGE_RIGHT1	Sað
KEYCHANGE_RIGHT2	Sað
KEYCHANGE_ROOT1	Kaldýr
KEYCHANGE_ROOT2	Kaldýr
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Þipþak
KEYCHANGE_SHOW_NAME	Ýsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Boþluk 1
KEYCHANGE_SLOT2	Boþluk 2
KEYCHANGE_SLOT3	Boþluk 3
KEYCHANGE_SLOT4	Boþluk 4
KEYCHANGE_SLOT5	Boþluk 5
KEYCHANGE_SLOT6	Boþluk 6
KEYCHANGE_SLOT7	Boþluk 7
KEYCHANGE_SLOT8	Boþluk 8
KEYCHANGE_SLOT_KET	Hýzlý Eriþim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Ýleri
KEYCHANGE_UP2	Ýleri
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çýkýþ
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çýkýþ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_DELETE_FRIEND	Arkadaþ Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIMIZE	Küçült
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Metin2 Okey Kart Oyunu
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_ENV_EFFECT	Çevre
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarasý Gir
OPTION_KEY_SETTING	Klavye
OPTION_MOBILE	Cep Telefonu
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Saldýrgan
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SETTING	Aç
OPTION_SNOW_MODE	Kar Yaðýþý
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PET_FEED_TITLE	
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Yumurtadan çýk
PET_HATCHING_NIK	Pet adý
PET_HATCHING_WINDOW_TITLE	Kuluçka Makinesi
PET_INFORMATION_ABILITIES	Bonuslar
PET_INFORMATION_AGE	Yaþ
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Savunma
PET_INFORMATION_EVOL_BUTTON	Geliþme
PET_INFORMATION_EXP	Tecrübe
PET_INFORMATION_EXP_BUTTON	Nesne EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	SP
PET_INFORMATION_TITLE	Pet
PICK_MONEY_TITLE	Bölmek
PRIVATESHOPSEARCH_BUY	Satýn al
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	Ýsim
PRIVATESHOPSEARCH_ITEMTYPE	Nesneler
PRIVATESHOPSEARCH_JOB	Sýnýf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Nesne Seviyesi
PRIVATESHOPSEARCH_SEARCH	Arama
PRIVATESHOPSEARCH_SEARCH_BAR	Ara
PRIVATESHOPSEARCH_SELECT	Seç
PRIVATESHOPSEARCH_SELLER	Satýcý
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Burada yeniden baþla
RESTART_TOWN	Þehirde yeniden baþla
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATTR_CHANGED	Yeni
SELECT_ATTR_CURRENT	Eski
SELECT_ATTR_SELECT	Seç
SELECT_ATTR_TITLE	Efsun Nesnesi+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_YES_GUILD	Lonca adý: %s
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Baþla
SELECT_SP	SP
SELECT_TITLE	Baþlýk Seç
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardým
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PET_INFO	Pet Bilgisi
TASKBAR_PREV_QUICKSLOT	Önceki Hýzlý Giriþ Alaný[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
